index,recno,RAJ2000,DEJ2000,Name,Comp,2MASS,Conf,l_Sep,Sep,PA,Date,Tech,r_Sep,DelMag,Filt,r_DelMag,pmRA,pmDE,r_pmRA,plx-DR2,e_plx-DR2,n_plx-DR2,epsi,sepsi,plx-lit,e_plx-lit,r_plx-lit,Gmag,BpRp,Vmag,Rmag,Imag,r_Vmag,Rtmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,n_Kmag,Mass,e_Mass,n_Mass,Memb,SimbadName
333,387,269.45212499999997,4.693444444444443,BARNARDS STAR,,17574849+0441405,,,,,,,,,,,-802.8,10362.54,2018A&A...616A...2L,547.4506,0.2899,,0.13,4.04,545.51,0.29,1999AJ....118.1086B 2014ApJ...784..156D 1995gcts.book.....V 2007A&A...474..653V,8.1951,2.8405,9.57,8.35,6.78,1990A&AS...83..357B,,5.244,0.02,4.834,0.034,4.524,0.02,,0.155,0.014,,s,NAME Barnard's star
439,330,217.42924999999997,-62.67963888888888,PROXIMA CEN,C,14294291-6240465,AC,,7803.9,212,2000,visdet,2006AJ....131.1163S,6.39,Ks,2006AJ....131.1163S,-3781.3,769.76,2018A&A...616A...2L,768.5004,0.203,,0.34,40.6,768.69,0.29,1999AJ....118.1086B 2018AJ....155..265H 1995gcts.book.....V 2007A&A...474..653V,8.9536,3.7965,11.09,9.42,7.37,2004AJ....128.2460H,,5.357,0.023,4.835,0.057,4.384,0.033,,0.122,0.014,,s,PROXIMA CEN
164,485,336.99812499999996,57.69588888888888,GJ 860,A,22275958+5741453,AB,,3.184,100,1998,astdet,2012AJ....144...64D,1.47,V_T,2000A&A...355L..27H,-934.09,-686.24,2018A&A...616A...2L,249.4198,0.1613,w,4.19,4450.0,248.06,1.39,1999A&A...341..121S 1995gcts.book.....V,8.6414,2.692,9.57,8.41,6.93,1996AJ....112.2300W,,5.575,0.027,5.038,0.034,4.777,0.029,J,0.268,0.02,c,s,GJ 860 A
179,410,280.6955833333333,59.62688888888888,GJ 725,B,18424688+5937374,AB,,12.62,172,2000,visdet,2006AJ....131.1163S,0.79,V,1996AJ....112.2300W,-1400.02,1862.4,2018A&A...616A...2L,283.8624,0.1065,,0.15,4.58,283.83,1.46,1995gcts.book.....V 2007A&A...474..653V 2007A&A...474..653V,8.5216,2.628,9.69,8.57,7.13,1996AJ....112.2300W,,5.721,0.02,5.197,0.024,5.0,0.023,,0.265,0.014,,s,GJ 725 B
308,414,282.4557083333333,-23.83622222222222,GJ 729,,18494929-2350101,,,,,,,,,,,639.34,-193.55,2018A&A...616A...2L,336.1228,0.0641,,0.14,5.35,337.22,1.97,1995gcts.book.....V 2007A&A...474..653V,9.1259,2.8377,10.44,9.2,7.65,1990A&AS...83..357B,,6.222,0.018,5.655,0.034,5.37,0.016,,0.174,0.014,,s,GJ 729
151,466,322.4033333333333,17.643305555555553,GJ 829,A,21293671+1738353,AB,,0.025,orb,1998,radorb,1999A&A...344..897D,0.0,Ks,This work,1007.01,378.77,2018A&A...616A...2L,147.6126,0.0979,,0.21,14.0,149.01,1.69,1995gcts.book.....V 2007A&A...474..653V,9.1008,2.6574,10.3,9.15,7.7,1991AJ....102.1795W,,6.249,0.021,5.737,0.024,5.453,0.02,J,0.299,0.017,u,s,GJ 829
382,37,24.756416666666663,-17.950527777777776,GJ 65,A,01390120-1757026,AB,,2.0458,orb,2011,astrad,2016AJ....152..141B,0.16,Ks,2016AJ....152..141B,3385.82,532.04,2018A&A...616A...2L,370.9991,0.1939,w,1.31,686.0,373.7,2.7,1995gcts.book.....V,10.4871,3.745,12.06,10.4,8.35,1991AJ....101..662B,,6.283,0.019,5.69,0.029,5.343,0.021,J,0.12,0.003,c,s,GJ 65
233,144,97.34770833333332,-2.8141388888888885,GJ 234,A,06292339-0248499,AB,,1.0932,orb,2005,astrad,2016AJ....152..141B,1.58,Ks,2016AJ....152..141B,750.14,-802.94,2018A&A...616A...2L,242.9659,0.8833,,3.69,2960.0,244.44,0.92,2003AJ....125.1530G 1999A&A...341..121S 1995gcts.book.....V,9.5806,3.1002,11.09,9.77,8.05,1996AJ....112.2300W,,6.376,0.023,5.754,0.034,5.486,0.016,J,0.223,0.002,c,s,GJ 234
288,269,176.93499999999997,0.804611111111111,GJ 447,,11474440+0048164,,,,,,,,,,,607.67,-1223.32,2018A&A...616A...2L,296.3073,0.0699,,0.18,13.2,298.14,1.37,1995gcts.book.....V 2007A&A...474..653V,9.5907,3.0426,11.16,9.85,8.17,1990A&AS...83..357B,,6.505,0.023,5.945,0.024,5.654,0.024,,0.173,0.014,,s,GJ 447
49,209,134.73470833333332,8.473888888888888,LTT 12352,A,08585633+0828259,AC,,0.007,orb,1998,radorb,1999A&A...344..897D,0.35,Ks,This work,385.32,-323.32,2006AJ....132.2360H,,,n,,,147.66,1.98,2006AJ....132.2360H,,,10.92,9.67,8.05,2006AJ....132.2360H,,6.507,0.018,5.966,0.033,5.688,0.016,J,0.211,0.017,u,s,LTT 12352
